"created_at","id","text","user_id","user_name","user_screen_name","user_location","user_followers_count","user_friends_count","user_created_at","user_time_zone","user_profile_background_color","user_profile_image_url","geo","coordinates","place"
"Thu Apr 03 03:06:03 +0000 2014",451556205958557700,"RT @JuRodriguez3: Mañana al colegio. Que mierrrda.",1550578122,"Lucαs ✌","lucasgpinto","Pedro Luro",799,634,"Thu Jun 27 13:15:50 +0000 2013","Buenos Aires","000000","http://pbs.twimg.com/profile_images/450827630149783552/g1GE9tNQ_normal.png",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205924597760,"Lord I need you\nOh, I need you\nEvery hour I need you\nMy one defense, my righteousness \nOh God how I need you",1170260274,"Madds","tbleever","With Hann & Sierr ",223,167,"Mon Feb 11 23:05:32 +0000 2013",null,"C0DEED","http://pbs.twimg.com/profile_images/448603351429554176/Y0EUXy31_normal.jpeg",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205958541300,"RT @Monte_Colorman: CHALLENGE IT TITO",46954677,"Mitchell Peebles","MitchellPeebles","",157,75,"Sat Jun 13 20:13:53 +0000 2009",null,"C0DEED","http://pbs.twimg.com/profile_images/437337639188852737/8HcGpssc_normal.jpeg",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205937188860,"五輪開催で動き出した首都圏の新路線計画: 五輪開催に伴い、お金が動くんじゃないかとか、開発をしてもいいんじゃないかと思う人が増えているのだろう、首都圏のあちこちでずっと休眠していた新路線計画が頭をもたげつつある。一番分か... http://t.co/Yrik1twdjB",2221991389,"相互フォロー100％のにゃんさま","dragonquestar13","",2475,1948,"Fri Nov 29 20:24:19 +0000 2013",null,"C0DEED","http://pbs.twimg.com/profile_images/378800000807491970/92ffe8e9c70045ca6e059d3fffd32900_normal.jpeg",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205937586200,"@florzalazardeli Jajajaja nada que ver!Soy más santa que vos nenaaaaa",181738942,"Brenn Amigó","BrennAmigo"," San miguel.Argentina",442,371,"Sun Aug 22 23:17:27 +0000 2010","Buenos Aires","DBE9ED","http://pbs.twimg.com/profile_images/442068086976303105/qzP6LUFa_normal.jpeg",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205933367300,"RT @SMlLlNG: Never stop retweeting this! 🙏👏 http://t.co/WlJ0qd94N4",330999079,"baby t. ♡","__imTayy","",1432,1389,"Thu Jul 07 13:59:00 +0000 2011","Pacific Time (US & Canada)","000000","http://pbs.twimg.com/profile_images/443244849286750208/YudZbCSY_normal.jpeg",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205920387100,"RT @FloresYasmin59: I'm soooooo tired . 😔",551563166,"Chatese","Juan_G_19","",451,483,"Thu Apr 12 04:28:06 +0000 2012",null,"C0DEED","http://pbs.twimg.com/profile_images/448309039680593920/bwgrEwM4_normal.jpeg",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205933375500,"@deannapadilla05 don't tell me what to do that's how people get shot",383034870,"issac_#11","tweetbird_24","springfield * central * 16",529,1279,"Sat Oct 01 04:27:42 +0000 2011","Atlantic Time (Canada)","131516","http://pbs.twimg.com/profile_images/436738954944344064/J1jjtj5B_normal.jpeg",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205958537200,"Dios y sus cosas...",249174114,"Santacoloma. ","Dayana22s","",112,82,"Tue Feb 08 14:44:40 +0000 2011","Central Time (US & Canada)","131516","http://pbs.twimg.com/profile_images/447156063457247232/cLabgfqj_normal.jpeg",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205949759500,"I think I might go to a therapist..",166412968,"Lisanati™","Uhmmmm_","Always in #EncoreNation",1034,197,"Wed Jul 14 02:42:17 +0000 2010","Quito","1A1B1F","http://pbs.twimg.com/profile_images/425774409035829248/zs1LBduV_normal.jpeg",null,null,null
